Geno,Trt,Rep,BM,TPN,TPW,TSW,OC 
Mercedes,Control,1,24.95,490,56.47,33,46.36363636
Mercedes,Control,2,25.51,583,64.27,34.55,43.15120712
Mercedes,Control,3,33.56,455,47.78,27.77,42.91187739
Mercedes,HNT,1,26.9,471,54.32,30.85,44.7715736
Mercedes,HNT,2,26.61,462,47.31,25.73,41.7115629
Mercedes,HNT,3,31.1,502,52.07,29.65,41.07692308
Edimax CL,Control,1,29.2,513,59.3,32.59,40.40625
Edimax CL,Control,2,31.09,467,52.37,30.61,42.60536398
Edimax CL,Control,3,33.8,475,66.99,36.46,43.68932039
Edimax CL,HNT,1,34.4,430,48.4,24.12,40.0511509
Edimax CL,HNT,2,32.8,496,61.83,37.39,43.42710997
Edimax CL,HNT,3,33.71,500,42.16,26.14,38.33333333
Popular,Control,1,28.69,494,60.42,35.13,42
Popular,Control,2,31.5,463,45.48,25.03,43.18181818
Popular,Control,3,27.44,429,61.86,34.68,40.76045627
Popular,HNT,1,29.2,442,46.97,26.11,38.28499369
Popular,HNT,2,30.42,483,50.63,27.92,41.62025316
Popular,HNT,3,25.3,521,56.41,31.02,41.66666667
46W94,Control,1,26.64,500,49.7,26.89,38.56041131
46W94,Control,2,34.24,459,49.64,27.43,38.52307692
46W94,Control,3,36.97,524,54.65,28.75,33.3604888
46W94,HNT,1,35.8,580,59.23,28.9,40.99087353
46W94,HNT,2,29.55,468,48.06,25.7,41.64524422
46W94,HNT,3,34.31,540,59.75,32.58,40.30769231
Wichita,Control,1,26.5,435,40.5,16.92,36.58163265
Wichita,Control,2,32.6,456,49.21,18.45,37.8553616
Wichita,Control,3,28.64,418,44.55,21.55,36.23762376
Wichita,HNT,1,26.74,319,34.04,16.13,39.09090909
Wichita,HNT,2,25.6,422,26.52,13.21,37.08542714
Wichita,HNT,3,24.38,m,m,m,35.62264151
Riley,Control,1,26,383,54.1,27.48,41.1296534
Riley,Control,2,30,460,48.03,22.51,39.79974969
Riley,Control,3,27.97,403,39.78,22.45,m
Riley,HNT,1,29.41,484,46.84,21.51,39.74025974
Riley,HNT,2,28.3,480,41.54,19.28,38.24516129
Riley,HNT,3,23.7,521,41.43,19.04,39.13043478
DKW44-10,Control,1,30.65,389,36.48,21.63,33.90625
DKW44-10,Control,2,30.9,380,39.91,17.41,35.02538071
DKW44-10,Control,3,35.8,375,38.21,18.51,36.74418605
DKW44-10,HNT,1,25.5,258,28.55,15.06,31.49807939
DKW44-10,HNT,2,26.98,350,30.38,14.68,32.1038961
DKW44-10,HNT,3,26.29,289,28.47,11.66,31.79282869
DKW46-15,Control,1,28.6,486,45.87,25.21,40.15503876
DKW46-15,Control,2,30.67,482,49.11,21.01,43.55212355
DKW46-15,Control,3,32.14,518,42.14,22.75,42.85714286
DKW46-15,HNT,1,22.2,367,37.21,19.57,38.30769231
DKW46-15,HNT,2,23.77,512,33.24,17.88,39.53488372
DKW46-15,HNT,3,24.8,316,24.78,13.27,37.83783784
HyCLASS225W,Control,1,29.4,537,58.29,28.46,42.95369212
HyCLASS225W,Control,2,26.1,525,62.13,30.73,42.1910828
HyCLASS225W,Control,3,m,512,67.45,36.11,44.47876448
HyCLASS225W,HNT,1,22.89,298,30.35,15.63,37.01643489
HyCLASS225W,HNT,2,29.69,335,40.53,18.3,38.1722365
HyCLASS225W,HNT,3,m,m,m,m,m
Hekip,Control,1,35.68,391,35.6,17.25,41.06870229
Hekip,Control,2,36.69,406,48.24,26.14,41.6988417
Hekip,Control,3,33.76,m,m,m,m
Hekip,HNT,1,26.6,417,26.49,12.8,38.46153846
Hekip,HNT,2,27.96,414,39.98,22.63,33.97402597
Hekip,HNT,3,23.22,m,m,m,34.33070866
