geno,trt,rep,OC 
Mercedes,Control,1,46.36
Mercedes,Control,2,43.15
Mercedes,Control,3,42.91
Mercedes,HNT,1,44.77
Mercedes,HNT,2,41.71
Mercedes,HNT,3,41.08
Edimax CL,Control,1,40.41
Edimax CL,Control,2,42.61
Edimax CL,Control,3,43.69
Edimax CL,HNT,1,40.05
Edimax CL,HNT,2,43.43
Edimax CL,HNT,3,38.33
Popular,Control,1,42.00
Popular,Control,2,43.18
Popular,Control,3,40.76
Popular,HNT,1,38.28
Popular,HNT,2,41.62
Popular,HNT,3,41.67
46W94,Control,1,38.56
46W94,Control,2,38.52
46W94,Control,3,33.36
46W94,HNT,1,40.99
46W94,HNT,2,41.65
46W94,HNT,3,40.31
Wichita,Control,1,36.58
Wichita,Control,2,37.86
Wichita,Control,3,36.24
Wichita,HNT,1,39.09
Wichita,HNT,2,37.09
Wichita,HNT,3,35.62
Riley,Control,1,41.13
Riley,Control,2,39.80
Riley,Control,3,m
Riley,HNT,1,39.74
Riley,HNT,2,38.25
Riley,HNT,3,39.13
DKW44-10,Control,1,33.91
DKW44-10,Control,2,35.03
DKW44-10,Control,3,36.74
DKW44-10,HNT,1,31.50
DKW44-10,HNT,2,32.10
DKW44-10,HNT,3,31.79
DKW46-15,Control,1,40.16
DKW46-15,Control,2,43.55
DKW46-15,Control,3,42.86
DKW46-15,HNT,1,38.31
DKW46-15,HNT,2,39.53
DKW46-15,HNT,3,37.84
HyCLASS225W,Control,1,42.95
HyCLASS225W,Control,2,42.19
HyCLASS225W,Control,3,44.48
HyCLASS225W,HNT,1,37.02
HyCLASS225W,HNT,2,38.17
HyCLASS225W,HNT,3,m
Hekip,Control,1,41.07
Hekip,Control,2,41.70
Hekip,Control,3,m
Hekip,HNT,1,38.46
Hekip,HNT,2,33.97
Hekip,HNT,3,34.33
