geno,trt,rep,TSW,,,,
Mercedes,Control,1,28.83,,,,
Mercedes,Control,2,31.22,,,,
Mercedes,Control,3,39.2,,,,
Mercedes,Control,4,34.19,,,,
Mercedes,HNT,1,33.79,,,,
Mercedes,HNT,2,37.46,,,,
Mercedes,HNT,3,31.33,,,,
Mercedes,HNT,4,32.29,,,,
Edimax CL,Control,1,32.12,,,,
Edimax CL,Control,2,34.13,,,,
Edimax CL,Control,3,29.89,,,,
Edimax CL,Control,4,38.21,,,,
Edimax CL,HNT,1,39.12,,,,
Edimax CL,HNT,2,35.71,,,,
Edimax CL,HNT,3,28.62,,,,
Edimax CL,HNT,4,32.93,,,,
Popular,Control,1,32.82,,,,
Popular,Control,2,30.96,,,,
Popular,Control,3,29.96,,,,
Popular,Control,4,28.71,,,,
Popular,HNT,1,26.03,,,,
Popular,HNT,2,26.8,,,,
Popular,HNT,3,31.3,,,,
Popular,HNT,4,37.71,,,,
46W94,Control,1,41.88,,,,
46W94,Control,2,33.23,,,,
46W94,Control,3,31,,,,
46W94,Control,4,38.62,,,,
46W94,HNT,1,37.63,,,,
46W94,HNT,2,33.38,,,,
46W94,HNT,3,31.32,,,,
46W94,HNT,4,,,,,
DKW44-10,Control,1,18.71,,,,
DKW44-10,Control,2,17.07,,,,
DKW44-10,Control,3,18.49,,,,
DKW44-10,Control,4,20.85,,,,
DKW44-10,HNT,1,13.52,,,,
DKW44-10,HNT,2,13.89,,,,
DKW44-10,HNT,3,10.31,,,,
DKW44-10,HNT,4,10.53,,,,
DKW46-15,Control,1,30.03,,,,
DKW46-15,Control,2,28.92,,,,
DKW46-15,Control,3,20.93,,,,
DKW46-15,Control,4,,,,,
DKW46-15,HNT,1,7.96,,,,
DKW46-15,HNT,2,19.51,,,,
DKW46-15,HNT,3,16.6,,,,
DKW46-15,HNT,4,,,,,
